Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2010,Normal value,Units,Country Data,*average annual number of present population,Annual,National,Volume of removed solid household waste per person,Kyrgyzstan,Kilograms,214.643352
2011,Normal value,Units,Country Data,*average annual number of present population,Annual,National,Volume of removed solid household waste per person,Kyrgyzstan,Kilograms,223.172865
2012,Normal value,Units,Country Data,*average annual number of present population,Annual,National,Volume of removed solid household waste per person,Kyrgyzstan,Kilograms,183.173589
2013,Normal value,Units,Country Data,*average annual number of present population,Annual,National,Volume of removed solid household waste per person,Kyrgyzstan,Kilograms,214.906582
2014,Normal value,Units,Country Data,*average annual number of present population,Annual,National,Volume of removed solid household waste per person,Kyrgyzstan,Kilograms,178.260402
2015,Normal value,Units,Country Data,*average annual number of present population,Annual,National,Volume of removed solid household waste per person,Kyrgyzstan,Kilograms,195.243858
2016,Normal value,Units,Country Data,*average annual number of present population,Annual,National,Volume of removed solid household waste per person,Kyrgyzstan,Kilograms,170.944426
2017,Normal value,Units,Country Data,*average annual number of present population,Annual,National,Volume of removed solid household waste per person,Kyrgyzstan,Kilograms,165.143944
2018,Normal value,Units,Country Data,*average annual number of present population,Annual,National,Volume of removed solid household waste per person,Kyrgyzstan,Kilograms,171.426688
2019,Normal value,Units,Country Data,*average annual number of present population,Annual,National,Volume of removed solid household waste per person,Kyrgyzstan,Kilograms,185.057972
