Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2000,A,3,C,A,N,_L_KG_060A01_1,KG,_L_ASS_LOAN,USD,36000.0
2002,A,3,C,A,N,_L_KG_060A01_1,KG,_L_ASS_LOAN,USD,15000.0
2009,A,3,C,A,N,_L_KG_060A01_1,KG,_L_ASS_LOAN,USD,7150.0
2011,A,3,C,A,N,_L_KG_060A01_1,KG,_L_ASS_LOAN,USD,7200.0
2013,A,3,C,A,N,_L_KG_060A01_1,KG,_L_ASS_LOAN,USD,1950.0
2014,A,3,C,A,N,_L_KG_060A01_1,KG,_L_ASS_LOAN,USD,10400.0
2016,A,3,C,A,N,_L_KG_060A01_1,KG,_L_ASS_LOAN,USD,46950.0
2019,A,3,C,A,N,_L_KG_060A01_1,KG,_L_ASS_LOAN,USD,50000.0
2005,A,3,C,A,N,_L_KG_060A01_1,KG,_L_ASS_GRANT,USD,7200.0
2008,A,3,C,A,N,_L_KG_060A01_1,KG,_L_ASS_GRANT,USD,8700.0
2009,A,3,C,A,N,_L_KG_060A01_1,KG,_L_ASS_GRANT,USD,6500.0
2011,A,3,C,A,N,_L_KG_060A01_1,KG,_L_ASS_GRANT,USD,13860.0
2013,A,3,C,A,N,_L_KG_060A01_1,KG,_L_ASS_GRANT,USD,7350.0
2014,A,3,C,A,N,_L_KG_060A01_1,KG,_L_ASS_GRANT,USD,11185.0
2015,A,3,C,A,N,_L_KG_060A01_1,KG,_L_ASS_GRANT,USD,5772.3
2016,A,3,C,A,N,_L_KG_060A01_1,KG,_L_ASS_GRANT,USD,12402.5
2009,A,3,C,A,N,_L_KG_060A01_1,KG,_L_ASS_LOAN_GRANT,USD,10000.0
2012,A,3,C,A,N,_L_KG_060A01_1,KG,_L_ASS_LOAN_GRANT,USD,7000.0
2014,A,3,C,A,N,_L_KG_060A01_1,KG,_L_ASS_LOAN_GRANT,USD,4890.0
2015,A,3,C,A,N,_L_KG_060A01_1,KG,_L_ASS_LOAN_GRANT,USD,9100.0
2016,A,3,C,A,N,_L_KG_060A01_1,KG,_L_ASS_LOAN_GRANT,USD,30100.0
2017,A,3,C,A,N,_L_KG_060A01_1,KG,_L_ASS_LOAN_GRANT,USD,59930.0
2018,A,3,C,A,N,_L_KG_060A01_1,KG,_L_ASS_LOAN_GRANT,USD,48020.0
2019,A,3,C,A,N,_L_KG_060A01_1,KG,_L_ASS_LOAN_GRANT,USD,24887.5
