Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2012,A,0,C,*according to the SCITC KR,A,N,IT_MOB_2GNTWK,KG,PT,97.5
2013,A,0,C,*according to the SCITC KR,A,N,IT_MOB_2GNTWK,KG,PT,97.6
2014,A,0,C,*according to the SCITC KR,A,N,IT_MOB_2GNTWK,KG,PT,97.7
2015,A,0,C,*according to the SCITC KR,A,N,IT_MOB_2GNTWK,KG,PT,97.8
2016,A,0,C,*according to the SCITC KR,A,N,IT_MOB_2GNTWK,KG,PT,99.0
2017,A,0,C,*according to the SCITC KR,A,N,IT_MOB_2GNTWK,KG,PT,99.1
2018,A,0,C,*according to the SCITC KR,A,N,IT_MOB_2GNTWK,KG,PT,99.2
2019,A,0,C,*according to the SCITC KR,A,N,IT_MOB_2GNTWK,KG,PT,99.3
2012,A,0,C,*according to the SCITC KR,A,N,IT_MOB_3GNTWK,KG,PT,46.3
2013,A,0,C,*according to the SCITC KR,A,N,IT_MOB_3GNTWK,KG,PT,51.0
2014,A,0,C,*according to the SCITC KR,A,N,IT_MOB_3GNTWK,KG,PT,57.0
2015,A,0,C,*according to the SCITC KR,A,N,IT_MOB_3GNTWK,KG,PT,59.0
2016,A,0,C,*according to the SCITC KR,A,N,IT_MOB_3GNTWK,KG,PT,60.0
2017,A,0,C,*according to the SCITC KR,A,N,IT_MOB_3GNTWK,KG,PT,75.0
2018,A,0,C,*according to the SCITC KR,A,N,IT_MOB_3GNTWK,KG,PT,88.0
2019,A,0,C,*according to the SCITC KR,A,N,IT_MOB_3GNTWK,KG,PT,91.0
2014,A,0,C,*according to the SCITC KR,A,N,IT_MOB_4GNTWK,KG,PT,0.5
2015,A,0,C,*according to the SCITC KR,A,N,IT_MOB_4GNTWK,KG,PT,1.6
2016,A,0,C,*according to the SCITC KR,A,N,IT_MOB_4GNTWK,KG,PT,40.0
2017,A,0,C,*according to the SCITC KR,A,N,IT_MOB_4GNTWK,KG,PT,50.0
2018,A,0,C,*according to the SCITC KR,A,N,IT_MOB_4GNTWK,KG,PT,70.0
2019,A,0,C,*according to the SCITC KR,A,N,IT_MOB_4GNTWK,KG,PT,85.0
